runnumber,live_rate
47289,1128868.896159
47293,1082554.005386
47306,949729.001468
47310,985955.801321
47313,894564.101130
47314,847879.624019
47315,810076.891603
47316,800273.014851
47333,852210.238913
47334,871420.925320
47352,780152.272316
47357,728086.540382
47360,726708.330938
47363,689926.231047
47376,932428.187238
47377,881478.474126
47378,834671.639667
47379,730067.439348
47380,770288.210826
47381,722126.214482
47382,624022.386454
47391,950987.319436
47393,864638.916667
47394,884247.646778
47395,871433.435931
47396,837410.178453
47440,960996.380913
47454,912799.597953
47457,811590.222532
47458,803314.845044
47459,760702.405405
47461,735828.605868
47463,670190.650494
47464,667202.094151
47474,1050727.418182
47478,874354.885096
47480,671174.754658
47481,671470.188830
47482,679628.368595
47484,686379.419355
47485,577143.324921
47489,600671.365000
47491,552944.866224
47492,516704.087786
47494,513170.082228
47495,494004.417768
47497,480789.745614
47501,1123651.019151
47502,1010161.972497
47503,928430.880235
47506,836456.249651
47507,751157.067297
47509,770544.572474
47513,1457339.637014
47514,1123740.251814
47516,1041512.913741
47517,920580.812254
47519,873277.667526
47521,801970.530956
47522,760872.787928
47524,738956.922621
47525,711956.960100
47540,998311.458507
47547,839033.195584
47549,809696.778463
47552,789449.230261
47557,1489050.348777
47568,1012925.678279
47582,1488885.448295
47601,1217141.054464
47628,1053263.056290
47634,1019182.390725
47635,956927.412735
47636,896427.374506
47637,900744.003881
47638,861185.415385
47650,1533790.934276
47657,1402462.638298
47658,1281655.588897
47659,1077556.829577
47661,1141894.199412
47662,1050758.602954
47664,1112197.080443
47666,875147.762774
47667,915196.789229
47714,1658308.792957
47715,1390791.111498
47716,1334665.655325
47719,1290279.085903
47720,1254470.593087
47722,1107768.990145
47723,1060810.018753
47724,1043788.345611
47725,998813.238806
47726,960825.697597
47727,945941.685185
47730,799160.525338
47732,871756.839068
47733,832674.533703
47783,1151724.945783
47791,1107388.234644
47810,1136275.714875
47824,1007586.640123
47831,1023537.884540
47834,1014962.963666
47836,991513.006258
47852,845209.969754
47856,939727.282250
47869,841184.081197
47873,907079.163714
47889,1437373.497765
47890,1380381.933559
47892,1332498.043466
47893,1146011.991552
47940,1638707.854093
47944,1438229.240469
47946,1163911.105341
47972,804436.638806
47975,737455.254995
47976,707874.975956
47977,590695.554268
47978,664358.341317
47979,651677.059346
47982,636959.165179
47999,1225990.041012
48001,1198762.808808
48002,1257246.156805
48008,1031278.229651
48011,1005451.069767
48073,1130538.990659
48079,893095.788280
48082,914415.173599
48084,939110.708784
48085,880615.735294
48086,860921.883929
48089,1063711.160189
48097,846930.902284
48099,824370.796053
48166,874619.368421
48181,888528.553532
48185,852249.968235
48230,1296653.891534
48233,1094657.297342
48236,999875.597007
48237,961515.688961
48239,836706.351656
48240,855946.036525
48244,836541.749593
48245,819271.353519
48246,808018.692717
48253,1157884.705329
48255,1057004.836475
48256,981729.895175
48257,915931.461794
48258,868827.839956
48259,840811.795394
48260,798684.228255
48261,770882.822715
48262,746855.928453
48263,723959.253451
48265,703136.581949
48290,1048999.602041
48291,994236.584337
48293,921601.579255
48294,938090.621488
48295,815161.985309
48307,928059.320872
48312,989815.667538
48313,929660.080000
48318,852001.107595
48320,815255.241481
48323,802840.379425
48325,736804.224071
48326,718203.855169
48327,461202.031008
48336,1056401.703529
48337,1079488.424157
48341,1010316.724359
48342,994627.070914
48343,891600.649813
48346,868744.054144
48347,914881.141775
48348,843029.540839
48349,859224.084211
48352,808654.560560
48356,1146437.397253
48357,1020285.273927
48358,984187.237514
48359,936408.116639
48364,825789.486966
48366,820434.631025
48367,784206.246674
48368,769475.745979
48369,750072.196452
48398,1129187.941379
48409,970113.568812
48410,922172.503523
48412,885386.018252
48416,883460.254707
48417,810584.903047
48418,712548.000000
48421,769502.061005
48423,774489.495833
48455,1286351.107301
48456,1209382.464481
48461,1058299.990039
48462,983907.014448
48469,906475.606566
48471,891073.551444
48510,1378954.021309
48511,1417209.635200
48512,1313111.085161
48513,1286689.960221
48514,1166504.767402
48516,1199166.921225
48518,1170257.696887
48519,1145122.644793
48520,1089312.728027
48521,1073049.139178
48522,1043191.689903
48529,994505.351425
48530,944626.115299
48531,944648.228682
48532,901829.181918
48533,913145.488154
48635,1251572.339530
48636,1196311.968992
48645,965050.147443
48656,822773.380223
48657,924702.656285
48658,887560.200986
48660,857931.266768
48701,1383873.172681
48720,1216373.025748
48721,1083036.335294
48722,1058039.007199
48725,929873.388566
48726,880169.976321
48727,850251.001099
48731,1752312.730532
48732,1441324.937838
48734,1401061.834109
48742,1060824.611940
48743,1040695.106080
48745,858984.248366
48746,882362.972561
48801,1288916.060519
48803,1153557.795082
48805,985255.672858
48806,1018210.126027
48807,1005707.752183
48810,907129.683250
48813,715416.964156
48824,1749081.834586
48826,794723.996745
48828,1149328.852294
48829,1073625.934659
48832,990446.158533
48836,865984.927657
48838,805928.855395
48839,776139.175476
48863,1471571.229126
48864,1348861.422792
48865,1271598.732085
48867,1144987.359055
48883,1660190.997835
48885,1497928.981873
48891,1215636.956438
48892,1152424.332884
48893,1120158.962357
48894,1090783.358796
48895,1078620.504680
48897,1017177.855000
48899,959994.241680
48900,913821.678726
48901,761128.135878
48902,871270.684345
48903,813253.381176
48935,1809560.623361
48938,1422130.727385
48940,1311272.273810
48943,1178144.365881
48946,1063978.067416
48949,934343.317741
48951,812136.659817
48971,1837433.889441
48982,1349199.018256
48983,1243644.749698
48984,1026323.347964
48985,1100597.504841
48986,891695.927778
48987,886807.519366
48988,939625.903392
48990,807542.279497
48991,778739.069358
49023,936324.550253
49026,1297441.359098
49027,1262304.134579
49029,1223891.898305
49030,1231153.898667
49031,1137382.738845
49035,286037.155727
49038,302978.523857
49042,299787.174288
49045,245728.830530
49048,235160.133929
49053,236219.815047
49054,242305.613519
49060,1379091.404187
49061,1181546.774050
49062,1067652.786421
49063,1040676.579013
49065,897453.711634
49066,827222.737920
49067,849619.973669
49069,800967.340410
49070,736050.182253
49071,699447.485316
49072,707652.446402
49073,712303.771784
49098,1599007.220779
49099,1594797.850901
49100,1478510.351588
49111,1067704.057478
49113,938799.371111
49116,893068.477041
49118,819975.980462
49121,1792680.758950
49125,1395826.188299
49127,1177699.588186
49128,1032943.373921
49133,910159.947321
49136,806061.458403
49138,713183.369403
49140,685910.237206
49141,636998.272985
49143,623283.854133
49148,611807.985472
49157,558192.664885
49159,521793.341474
49165,465836.712107
49217,1739506.162815
49218,1613806.638258
49219,1331585.761918
49224,1172894.173175
49226,1145604.358127
49227,1046259.403598
49228,981230.738117
49229,967865.523440
49230,925200.769137
49233,852827.834951
49240,1755650.879645
49241,1595180.118494
49244,1376426.471192
49245,1219954.539429
49247,1223791.395368
49248,1132916.832222
49249,992216.616322
49250,954187.537556
49251,943220.929461
49254,832134.572407
49262,1079896.349367
49263,1020328.160384
49264,1036047.760643
49265,952410.180472
49266,839836.208649
49267,868440.333425
49268,795389.509225
49270,797597.915559
49307,1262036.639699
49308,1094000.592221
49309,1086527.303509
49310,1103045.280642
49311,1085042.880102
49312,1052115.654241
49313,907905.262697
49314,984715.490367
49316,882554.921992
49317,755785.855346
49324,1496846.477662
49329,1026989.752423
49330,1037744.724182
49331,1015545.371223
49337,1575085.239900
49339,1363836.203837
49340,1345725.992625
49341,1294668.928571
49345,1038684.327055
49346,1069799.370826
49347,876242.413613
49348,952212.842351
49349,963143.746568
49351,907033.177539
49352,879580.317028
49356,1817691.534884
49358,1435334.837902
49359,1246855.633103
49360,1141412.649367
49361,1114901.667597
49362,1045852.133005
49365,917279.575136
49366,910842.220629
49367,863491.459774
49368,769883.843215
49369,752483.947170
49374,1402319.129327
49376,1291317.852878
49377,1109733.012862
49378,1221295.574238
49379,1027068.647826
49380,1121389.421583
49381,1084277.339798
49382,1051014.211325
49383,1006432.618197
49384,980089.828067
49385,886444.284701
49390,688717.569375
49432,1421330.064915
49433,1279480.611820
49434,1158002.218550
49435,1030423.385916
49437,903534.466565
49438,971978.495283
49439,869444.461300
49440,898589.445008
49445,1714275.698765
49446,1587422.311438
49447,1436784.088091
49448,1281881.865482
49449,1054047.947581
49451,1186175.909434
49452,1123854.635834
49453,1085978.292890
49454,1034685.976608
49455,930287.807980
49456,1025234.609925
49457,926853.060910
49464,1775218.506649
49466,1558024.427435
49468,1370695.026549
49652,1622838.308197
49653,1811162.415909
49655,1579080.907099
49656,1358728.014870
49658,1207658.160569
49659,1266191.181818
49660,1206875.322870
49661,1173950.324820
49662,1111193.585118
49664,1091154.377678
49736,1388031.027778
49737,1453805.453447
49742,1304440.705882
49743,1276232.293779
49749,1105178.421680
49751,1013865.578007
49752,963299.745955
49756,2020620.252991
49758,1857355.042869
49760,1480847.352006
49761,1291975.789157
49762,1371829.808108
49919,1478963.562085
49922,1406958.075314
49923,1324496.125532
49925,1140287.188279
49926,1190548.413572
49928,1087856.983923
49930,1104889.195783
49934,1090528.918005
49959,1645888.427492
49962,1386520.853376
49964,1360094.238318
49966,1321901.597210
49967,1233969.832069
49968,1238090.944722
49969,1153699.612653
49970,1061230.990492
50033,1821885.098684
50034,1429424.461005
50036,1351958.384828
50045,1121878.059019
50046,983227.507909
50047,998699.456790
50068,1564538.571560
50070,1461904.022191
50073,1372319.133536
50076,1064749.601266
50253,1138002.900722
50262,1171431.394949
50283,1057758.805371
50330,948420.006528
50343,921204.915690
50356,849985.732240
50376,871588.198723
50463,1338298.527458
50464,1219816.593689
50465,1076731.489632
50466,979376.760241
50467,904278.361001
50468,896418.765574
50470,875222.286285
50471,803232.030151
50483,833462.541534
50491,1396188.418811
50492,1312427.711377
50496,1177053.093681
50497,1078463.084835
50500,991572.357447
50501,941135.768160
50520,1239282.684039
50522,1142939.151198
50526,1159141.445988
50527,1075204.764613
50528,1075016.471607
50529,1061466.646581
50531,945676.176966
50535,982117.614286
50536,984413.809294
50546,1488678.574144
50548,1431167.048964
50549,1285862.713247
50550,1258132.178258
50551,1202818.461765
50554,1019773.925382
50561,1380000.654506
50563,1233690.063584
50564,1155745.308889
50569,1165965.692817
50599,1389601.884312
50600,1316236.950181
50601,1238660.171260
50602,1223861.448032
50603,1132322.323505
50605,1038333.197195
50606,1012099.712077
50607,955752.875000
50613,1868715.800127
50615,1461361.007587
50650,1234999.418301
50655,1117519.660245
50658,1070701.076923
50660,938917.364250
50661,896786.615625
50662,938174.249224
50663,930490.021434
50664,923042.406386
50666,900357.778061
50668,838684.221157
50670,719648.687783
50671,769235.092346
50673,729293.178767
50674,697280.127787
50676,658891.906593
50677,649026.563107
50853,1165994.392557
50857,1035887.344711
50874,1376498.947992
50875,1292376.775107
50885,1833962.874564
50886,1720717.664109
50887,1586263.296680
50889,1416631.421384
50897,1294547.600000
50962,1212411.373404
50965,1241112.658098
50969,1189323.990686
50981,1097262.103008
50987,1003018.891856
50992,989049.665877
50996,928633.913120
51012,854896.904728
51015,863116.292235
51093,1807525.631746
51095,497671.163399
51152,1324457.482871
51154,1253740.252149
51160,992558.800621
51161,878463.660932
51162,765822.380259
51163,685544.472973
51166,653693.124700
51167,681826.780692
51171,1761715.282203
51172,1627453.678679
51176,1297218.578327
51177,1199318.475884
51179,948625.727869
51183,803006.543103
51188,906369.794802
51200,1381442.100310
51201,1194612.758078
51202,1118249.796610
51208,982350.257610
51209,925518.240785
51210,883715.895363
51211,850314.358591
51212,810621.249611
51213,740017.915367
51214,751080.609195
51215,750611.844185
51220,1779779.541276
51221,1650375.166815
51222,1335371.064830
51225,1044462.264352
51229,830708.431853
51230,741670.591710
51234,1728729.761746
51236,1137947.334465
51237,1060941.026233
