$p_T$ (GeV/$c$) LOW,$p_T$ (GeV/$c$) HIGH,$v_2$,stat. +,stat. -
2,2.5,0.0697,0.0018,-0.0018
2.5,3,0.0777,0.0022,-0.0022
3,3.5,0.0746,0.0029,-0.0029
3.5,4,0.0695,0.0034,-0.0034
4,4.5,0.0612,0.0042,-0.0042
4.5,5,0.0615,0.0054,-0.0054
2,2.5,0.132,0.0012,-0.0012
2.5,3,0.1386,0.0014,-0.0014
3,3.5,0.1373,0.0019,-0.0019
3.5,4,0.1221,0.0022,-0.0022
4,4.5,0.1174,0.003,-0.003
4.5,5,0.1071,0.004,-0.004
2,2.5,0.1704,0.0011,-0.0011
2.5,3,0.175,0.0014,-0.0014
3,3.5,0.1726,0.0018,-0.0018
3.5,4,0.1646,0.0023,-0.0023
4,4.5,0.1493,0.0031,-0.0031
4.5,5,0.1333,0.0041,-0.0041
2,2.5,0.1898,0.0011,-0.0011
2.5,3,0.192,0.0014,-0.0014
3,3.5,0.1823,0.0019,-0.0019
3.5,4,0.1791,0.0024,-0.0024
4,4.5,0.164,0.0032,-0.0032
4.5,5,0.1584,0.0044,-0.0044
2,2.5,0.1935,0.0013,-0.0013
2.5,3,0.1989,0.0017,-0.0017
3,3.5,0.1989,0.0022,-0.0022
3.5,4,0.175,0.0028,-0.0028
4,4.5,0.1736,0.0039,-0.0039
4.5,5,0.1671,0.0054,-0.0054
2,2.5,0.1894,0.0017,-0.0017
2.5,3,0.1888,0.0022,-0.0022
3,3.5,0.1825,0.0031,-0.0031
3.5,4,0.1763,0.0042,-0.0042
4,4.5,0.1838,0.0061,-0.0061
4.5,5,0.1747,0.0085,-0.0085